document_title,doi,document_link,authors,publication_year,document_type,abstract,database,open_access
using data cards for teaching data based decision trees in middle school,10.1145/3488042.3489966,https://doi.org/10.1145/3488042.3489966,"Podworny S., Fleischer Y., Hüsing S., Biehler R., Frischemeier D., Höper L., Schulte C.",2021,Conference Paper,NA,Scopus,NA
developing and evaluating the concept data awareness for k12 computing education,10.1145/3488042.3490509,https://doi.org/10.1145/3488042.3490509,Höper L.,2021,Conference Paper,NA,Scopus,NA
"orienting, framing, bridging, magic, and counseling: how data scientists navigate the outer loop of client collaborations in industry and academia",10.1145/3476052,https://doi.org/10.1145/3476052,"Kross S., Guo P.",2021,Article,NA,Scopus,"All Open Access, Bronze, Green"
a journal for interdisciplinary data science education,10.1145/3469281,https://doi.org/10.1145/3469281,"Hazzan O., Mike K.",2021,Article,NA,Scopus,NA
real data and application-based interactive modules for data science education in engineering,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124546523&partnerID=40&md5=ed00569a6049c4f397399743b6de40ef,"Suthar K., Mitchell T., Hartwig A.C., Wang J., Mao S., Parson L., Zeng P., Liu B., He P.",2021,Conference Paper,NA,Scopus,NA
computational skills by stealth in introductory data science teaching,10.1111/test.12277,https://doi.org/10.1111/test.12277,"Burr W., Chevalier F., Collins C., Gibbs A.L., Ng R., Wild C.J.",2021,Article,NA,Scopus,NA
toward data-scientific thinking,10.1111/test.12267,https://doi.org/10.1111/test.12267,Gould R.,2021,Article,NA,Scopus,NA
introducing students to machine learning with decision trees using codap and jupyter notebooks,10.1111/test.12279,https://doi.org/10.1111/test.12279,"Biehler R., Fleischer Y.",2021,Article,NA,Scopus,NA
introducing data science with data moves and codap,10.1111/test.12240,https://doi.org/10.1111/test.12240,"Erickson T., Chen E.",2021,Article,NA,Scopus,NA
reflective data storytelling for youth: the codap story builder,10.1145/3459990.3465177,https://doi.org/10.1145/3459990.3465177,"Wilkerson M., Finzer W., Erickson T., Hernandez D.",2021,Conference Paper,NA,Scopus,"All Open Access, Green"
scaling up data science course projects: a case study,10.1145/3430895.3460168,https://doi.org/10.1145/3430895.3460168,"Bhavya B., Xiao J., Zhai C.",2021,Conference Paper,NA,Scopus,NA
exploring metrics for the analysis of code submissions in an introductory data science course,10.1145/3448139.3448209,https://doi.org/10.1145/3448139.3448209,"Nguyen H., Lim M., Moore S., Nyberg E., Sakr M., Stamper J.",2021,Conference Paper,NA,Scopus,"All Open Access, Bronze"
establishing abet accreditation criteria for data science,10.1145/3408877.3432445,https://doi.org/10.1145/3408877.3432445,"Blair J.R.S., Jones L., Leidig P., Murray S., Raj R.K., Romanowski C.J.",2021,Conference Paper,NA,Scopus,NA
"experiential learning in data science: developing an interdisciplinary, client-sponsored capstone program",10.1145/3408877.3432536,https://doi.org/10.1145/3408877.3432536,Allen G.I.,2021,Conference Paper,NA,Scopus,NA
celebrating design thinking in tech education: the data science education case,10.1007/978-3-030-90176-9_10,https://doi.org/10.1007/978-3-030-90176-9_10,"Swaid S.I., Suid T.Z.",2021,Conference Paper,NA,Scopus,NA
using team-based learning to teach data science,10.1080/26939169.2021.1971587,https://doi.org/10.1080/26939169.2021.1971587,Vance E.A.,2021,Article,NA,Scopus,"All Open Access, Gold"
developing and deploying a scalable computing platform to support mooc education in clinical data science,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8378646/,"Mayer D., Russell S., Wilson M.P., Kahn M.G., Wiley L.K.",2021,Article,NA,Scopus,NA
a letter to the journal of statistics and data science education — a call for review of “okcupid data for introductory statistics and data science courses” by albert y. kim and adriana escobedo-land,10.1080/26939169.2021.1930812,https://doi.org/10.1080/26939169.2021.1930812,"Xiao T., Ma Y.",2021,Letter,NA,Scopus,"All Open Access, Gold"
"integrating computing in the statistics and data science curriculum: creative structures, novel skills and habits, and ways to teach computational thinking",10.1080/10691898.2020.1870416,https://doi.org/10.1080/10691898.2020.1870416,"Horton N.J., Hardin J.S.",2021,Article,NA,Scopus,"All Open Access, Gold, Green"
teaching creative and practical data science at scale,10.1080/10691898.2020.1860725,https://doi.org/10.1080/10691898.2020.1860725,"Donoghue T., Voytek B., Ellis S.E.",2021,Article,NA,Scopus,"All Open Access, Gold"
computing in the statistics curricula: a 10-year retrospective,10.1080/10691898.2020.1862609,https://doi.org/10.1080/10691898.2020.1862609,"Hardin J., Horton N.J., Nolan D., Lang D.T.",2021,Article,NA,Scopus,"All Open Access, Gold"
exploring interdisciplinary data science education for undergraduates: preliminary results,10.1007/978-3-030-71292-1_43,https://doi.org/10.1007/978-3-030-71292-1_43,"Li F., Xiao Z., Ng J.T.D., Hu X.",2021,Conference Paper,NA,Scopus,NA
development of online learning material for data science programming using 3d puzzle,10.18178/ijiet.2021.11.4.1505,https://doi.org/10.18178/ijiet.2021.11.4.1505,"Yamamoto N., Ishida A., Ogitsuka K., Oishi N., Murakami J.",2021,Article,NA,Scopus,"All Open Access, Gold"
the next wave: we will all be data scientists,10.1002/sam.11476,https://doi.org/10.1002/sam.11476,"Betz M., Gundlach E., Hillery E., Rickus J., Ward M.D.",2020,Article,NA,Scopus,NA
equalizing data science curriculum for computer science pupils,10.1145/3428029.3428045,https://doi.org/10.1145/3428029.3428045,"Mike K., Hazan T., Hazzan O.",2020,Conference Paper,NA,Scopus,NA
data science and its relationship to library and information science: a content analysis,10.1108/dta-07-2020-0167,https://doi.org/10.1108/dta-07-2020-0167,"Virkus S., Garoufallou E.",2020,Article,NA,Scopus,NA
data science education: curriculum and pedagogy,10.1145/3372782.3407110,https://doi.org/10.1145/3372782.3407110,Mike K.,2020,Conference Paper,NA,Scopus,NA
"how wwii was won, and why cs students feel unappreciated",10.1145/3403958,https://doi.org/10.1145/3403958,"Arquilla J., Roschelle J.",2020,Article,NA,Scopus,NA
ethics in data science education,10.18260/1-2--34589,https://doi.org/10.18260/1-2--34589,Davis K.C.,2020,Conference Paper,NA,Scopus,NA
teaching data science to social sciences and humanities students,10.1145/3396956.3396968,https://doi.org/10.1145/3396956.3396968,Hagen L.,2020,Conference Paper,NA,Scopus,NA
re-shape: a method to teach data ethics for data science education,10.1145/3313831.3376251,https://doi.org/10.1145/3313831.3376251,"Shapiro B.R., Meng A., O'Donnell C., Lou C., Zhao E., Dankwa B., Hostetler A.",2020,Conference Paper,NA,Scopus,"All Open Access, Green"
experimental evidence extraction system in data science with hybrid table features and ensemble learning,10.1145/3366423.3380174,https://doi.org/10.1145/3366423.3380174,"Yu W., Peng W., Shu Y., Zeng Q., Jiang M.",2020,Conference Paper,NA,Scopus,NA
metadata: a tool to supplement data science education for the first year undergraduates,10.1145/3395245.3396409,https://doi.org/10.1145/3395245.3396409,"Nair R., Chugani M.N., Thangavel S.K.",2020,Conference Paper,NA,Scopus,NA
collective development of large scale data science products via modularized assignments: an experience report,10.1145/3328778.3366961,https://doi.org/10.1145/3328778.3366961,"Bhavya, Boughoula A., Green A., Zhai C.X.",2020,Conference Paper,NA,Scopus,"All Open Access, Bronze"
national academies' roundtable on data science postsecondary education,10.1145/3328778.3366986,https://doi.org/10.1145/3328778.3366986,"Kloefkorn T., Boardman M., Horton N.J., Marshall B.",2020,Conference Paper,NA,Scopus,NA
the democratization of data science education,10.1080/00031305.2019.1668849,https://doi.org/10.1080/00031305.2019.1668849,"Kross S., Peng R.D., Caffo B.S., Gooding I., Leek J.T.",2020,Article,NA,Scopus,NA
the interdisciplinary characteristics of ischools research:from the perspective of biblimetrics analysis,10.13530/j.cnki.jlis.2020048,https://doi.org/10.13530/j.cnki.jlis.2020048,"Siluo Y., Yiming Z.",2020,Article,NA,Scopus,NA
self and socially shared regulation of learning in data science education: a case study of “quantified self” project,10.22318/icls2020.749,https://doi.org/10.22318/icls2020.749,"Zhang J., Wu B.",2020,Conference Paper,NA,Scopus,NA
teaching undergraduate data science for information schools,10.3233/efi-200372,https://doi.org/10.3233/efi-200372,Hagen L.,2020,Article,NA,Scopus,NA
temporality in data science education: early results from a grounded theory study of an nsf-funded cybertraining workshop,10.1007/978-3-030-43687-2_43,https://doi.org/10.1007/978-3-030-43687-2_43,"Hauser E., Sutherland W.",2020,Conference Paper,NA,Scopus,NA
a design-based research approach for developing data-focussed business curricula,10.1007/s10639-019-09981-5,https://doi.org/10.1007/s10639-019-09981-5,"Miah S.J., Solomonides I., Gammack J.G.",2020,Article,NA,Scopus,NA
"21st international conference on interactive collaborative learning, icl 2018",10.1007/978-3-030-11932-4,https://doi.org/10.1007/978-3-030-11932-4,[No author name available],2020,Conference Review,NA,Scopus,NA
collaborative learning in data science education: a data expedition as a formative assessment tool,10.1007/978-3-030-11932-4_2,https://doi.org/10.1007/978-3-030-11932-4_2,"Maksimenkova O., Neznanov A., Radchenko I.",2020,Conference Paper,NA,Scopus,NA
an empirical approach to understanding data science and engineering education,10.1145/3344429.3372503,https://doi.org/10.1145/3344429.3372503,"Raj R.K., Parrish A., Impagliazzo J., Romanowski C.J., Aly S.G., Bennett C.C., Davis K.C., McGettrick A., Pereira T.S.M., Sundin L.",2019,Conference Paper,NA,Scopus,NA
how environmental science graduate students acquire statistical computing skills,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082018919&partnerID=40&md5=3340af78a627e9dcbc5aab4e1e3dc980,"Theobold A., Hancock S.",2019,Article,NA,Scopus,NA
data science from a library and information science perspective,10.1108/dta-05-2019-0076,https://doi.org/10.1108/dta-05-2019-0076,"Virkus S., Garoufallou E.",2019,Article,NA,Scopus,NA
integrating data science into a general education information technology course: an approach to developing data savvy undergraduates,10.1145/3349266.3351417,https://doi.org/10.1145/3349266.3351417,"Haynes M., Groen J., Sturzinger E., Zhu D., Shafer J., McGee T.",2019,Conference Paper,NA,Scopus,NA
toward training and assessing reproducible data analysis in data science education,10.1162/dint_a_00053,https://doi.org/10.1162/dint_a_00053,"Yu B., Hu X.",2019,Article,NA,Scopus,"All Open Access, Gold"
curriculum for hands-on artificial intelligence cybersecurity,10.1109/ithet46829.2019.8937373,https://doi.org/10.1109/ithet46829.2019.8937373,"Romney G.W., Guymon J., Romney M.D., Carlson D.A.",2019,Conference Paper,NA,Scopus,NA
data science education: global perspectives and convergence,10.1145/3304221.3325533,https://doi.org/10.1145/3304221.3325533,"Raj R.K., Parrish A., Impagliazzo J., Romanowski C.J., Ahmed S.A., Bennett C.C., Davis K.C., McGettrick A., Mendes Pereira T.S., Sundin L.",2019,Conference Paper,NA,Scopus,NA
livedatalab: a cloud-based platform to facilitate hands-on data science education at scale,10.1145/3330430.3333665,https://doi.org/10.1145/3330430.3333665,"Green A., Zhai C.",2019,Conference Paper,NA,Scopus,"All Open Access, Bronze"
panel: the computing in data science,10.1145/3300115.3312508,https://doi.org/10.1145/3300115.3312508,"Cassel L., Hongzhi W.",2019,Conference Paper,NA,Scopus,NA
"practitioners teaching data science in industry and academia: expectations, workflows, and challenges",10.1145/3290605.3300493,https://doi.org/10.1145/3290605.3300493,"Kross S., Guo P.J.",2019,Conference Paper,NA,Scopus,"All Open Access, Bronze"
designing customisable data science curriculum using ontology for data science competences and body of knowledge,10.1145/3322134.3322143,https://doi.org/10.1145/3322134.3322143,"Demchenko Y., Comminiello L., Reali G.",2019,Conference Paper,NA,Scopus,NA
acm task force on data science education draft report and opportunity for feedback,10.1145/3287324.3287522,https://doi.org/10.1145/3287324.3287522,"Danyluk A., Cassel L., Leidig P., Servin C.",2019,Conference Paper,NA,Scopus,NA
linking educational resources on data science,10.1609/aaai.v33i01.33019404,https://doi.org/10.1609/aaai.v33i01.33019404,"Ambite J.L., Gordon J., Fierro L., Burns G., Mathew J.",2019,Conference Paper,NA,Scopus,NA
data science education in the ischool context,10.1002/pra2.90,https://doi.org/10.1002/pra2.90,"Oh S., Song I.-Y., Mostafa J., Zhang Y., Wu D.",2019,Article,NA,Scopus,NA
data science education in library and information science schools,10.1002/pra2.84,https://doi.org/10.1002/pra2.84,"Hagen L., Andrews J., Federer L., Benoit G.",2019,Article,NA,Scopus,NA
a survey of data science programs and courses in the ischools,10.1002/pra2.184,https://doi.org/10.1002/pra2.184,"Wang Y.-Y., Lin C.-S.",2019,Article,NA,Scopus,NA
keeping the human in the data scientist: shaping human-centered data science education,10.1002/pra2.103,https://doi.org/10.1002/pra2.103,"Anderson T.D., Parker N.",2019,Article,NA,Scopus,NA
data wrangling practices and process in modeling family migration narratives with big data visualization technologies,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073350469&partnerID=40&md5=f61f1a050269ba4fb3cd50b42f04a8e5,"Jiang S., Kahn J.B.",2019,Conference Paper,NA,Scopus,NA
"using data expedition as a formative assessment tool in data science education: reasoning, justification, and evaluation",10.3991/ijet.v14i11.10202,https://doi.org/10.3991/ijet.v14i11.10202,"Maksimenkova O., Neznanov A., Radchenko I.",2019,Article,NA,Scopus,"All Open Access, Gold"
data science postgraduate education at university of dar es salaam in tanzania: current demands and opportunities,10.1007/978-3-030-19115-3_29,https://doi.org/10.1007/978-3-030-19115-3_29,"Mbwilo B., Kimaro H., Justo G.",2019,Conference Paper,NA,Scopus,"All Open Access, Green"
bridging the demand and the offer in data science,10.1002/cpe.5200,https://doi.org/10.1002/cpe.5200,"Belloum A.S.Z., Koulouzis S., Wiktorski T., Manieri A.",2019,Article,NA,Scopus,"All Open Access, Hybrid Gold, Green"
hess opinions: incubating deep-learning-powered hydrologic science advances as a community,10.5194/hess-22-5639-2018,https://doi.org/10.5194/hess-22-5639-2018,"Shen C., Laloy E., Elshorbagy A., Albert A., Bales J., Chang F.-J., Ganguly S., Hsu K.-L., Kifer D., Fang Z., Fang K., Li D., Li X., Tsai W.-P.",2018,Article,NA,Scopus,"All Open Access, Gold, Green"
"2018 ieee data science workshop, dsw 2018 - proceedings",10.1109/DSW43626.2018,https://doi.org/10.1109/DSW43626.2018,[No author name available],2018,Conference Review,NA,Scopus,NA
clads: a cloud-based virtual lab for the delivery of scalable hands-on assignments for practical data science education,10.1145/3197091.3197135,https://doi.org/10.1145/3197091.3197135,"Geigle C., Sundaram H., Lourentzou I., Zhai C.",2018,Conference Paper,NA,Scopus,"All Open Access, Bronze"
accelerated apprenticeship: teaching data science problem solving skills at scale,10.1145/3231644.3231697,https://doi.org/10.1145/3231644.3231697,"Chen L., Dubrawski A.",2018,Conference Paper,NA,Scopus,NA
evaluating computational thinking in jupyter notebook data science projects,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103846829&partnerID=40&md5=0ad9e8c92019d355ad332a73d555acf6,"Sorensen C., Mustafaraj E.",2018,Conference Paper,NA,Scopus,NA
architecting data science education,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048355807&partnerID=40&md5=d7cbd193f1a4d2707887d143cdc8bf29,"Ermolayev V., Suárez-Figueroa M.C., Molchanovskyi O.",2018,Conference Paper,NA,Scopus,NA
designing and delivering a curriculum for data science education across europe,10.1007/978-3-319-73204-6_59,https://doi.org/10.1007/978-3-319-73204-6_59,"Mikroyannidis A., Domingue J., Phethean C., Beeston G., Simperl E.",2018,Conference Paper,NA,Scopus,"All Open Access, Green"
hadoop as a service for academic purposes,10.1145/3167020.3167032,https://doi.org/10.1145/3167020.3167032,"Ruckcharti U., Atiratana N., Krathu W., Arpnikanondt C.",2017,Conference Paper,NA,Scopus,NA
big data and data science: opportunities and challenges of ischools,10.1515/jdis-2017-0011,https://doi.org/10.1515/jdis-2017-0011,"Song I.-Y., Zhu Y.",2017,Article,NA,Scopus,"All Open Access, Gold"
exploring how different project management methodologies impact data science students,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058023852&partnerID=40&md5=95248678a298270f33b1e15a21cfe095,"Saltz J., Heckman R., Shamshurin I.",2017,Conference Paper,NA,Scopus,NA
what is a data science/analytics degree?,NA,https://aisel.aisnet.org/amcis2017/Panels/Presentations/13,"Saltz J., Armour F., Sharda R.",2017,Conference Paper,NA,Scopus,NA
“it lives all around us”: aspects of data literacy in teen's lives,10.1002/pra2.2017.14505401004,https://doi.org/10.1002/pra2.2017.14505401004,"Bowler L., Acker A., Jeng W., Chi Y.",2017,Article,NA,Scopus,NA
habitat explorer: designing educational games for collaborative learning on interactive surfaces,10.1145/2992154.2996788,https://doi.org/10.1145/2992154.2996788,"Schwartz A., Sorensen C., Mustafaraj E.",2016,Conference Paper,NA,Scopus,NA
principles of citizen science in open educational projects based on open data,10.1145/3022211.3022216,https://doi.org/10.1145/3022211.3022216,"Radchenko I., Maksimenkova O.",2016,Conference Paper,NA,Scopus,NA
big data and data science: what should we teach?,10.1111/exsy.12130,https://doi.org/10.1111/exsy.12130,"Song I., Zhu Y.",2016,Article,NA,Scopus,NA
datathons: an experience report of data hackathons for data science education,10.1145/2839509.2844568,https://doi.org/10.1145/2839509.2844568,"Anslow C., Brosz J., Maurer F., Boyes M.",2016,Conference Paper,NA,Scopus,NA
ivis4bigdata: a reference model for advanced visual interfaces supporting big data analysis in virtual research environments,10.1007/978-3-319-50070-6_1,https://doi.org/10.1007/978-3-319-50070-6_1,"Bornschlegl M.X., Berwind K., Kaufmann M., Engel F.C., Walsh P., Hemmje M.L., Riestra R.",2016,Conference Paper,NA,Scopus,NA
retraction: a project-based case study of data science education (data science journal (2016) 15: 5 doi: 10.5334/dsj-2016-005),10.5334/dsj-2016-010,https://doi.org/10.5334/dsj-2016-010,[No author name available],2016,Erratum,NA,Scopus,"All Open Access, Gold, Green"
a project-based case study of data science education,10.5334/dsj-2016-005,https://doi.org/10.5334/dsj-2016-005,"Turek D., Suen A., Clark D.",2016,Retracted,NA,Scopus,"All Open Access, Gold, Green"
computer science meets social studies: embedding cs in the study of locally grounded civic issues,10.1145/2787622.2787751,https://doi.org/10.1145/2787622.2787751,Van Wart S.,2015,Conference Paper,NA,Scopus,NA
the effectiveness of data science as a means to achieve proficiency in scientific literacy,NA,http://isedj.org/2015-13/n4/ISEDJv13n4p64.html,"Ceccucci W., Tamarkin D., Jones K.",2014,Conference Paper,NA,Scopus,NA
advanced data analytics education for students and companies,10.1145/2591708.2591746,https://doi.org/10.1145/2591708.2591746,"Marttila-Kontio M., Kontio M., Hotti V.",2014,Conference Paper,NA,Scopus,NA
data science as an undergraduate degree,10.1145/2538862.2538868,https://doi.org/10.1145/2538862.2538868,"Anderson P., McGuffee J., Uminsky D.",2014,Conference Paper,NA,Scopus,NA
interdisciplinary data science education,10.1021/bk-2012-1110.ch006,https://doi.org/10.1021/bk-2012-1110.ch006,"Stanton J., Palmer C.L., Blake C., Allard S.",2012,Article,NA,Scopus,NA
inclusivity in statistics and data science education,10.1080/26939169.2021.1906555,https://doi.org/10.1080/26939169.2021.1906555,"Witmer, J",2021,Editorial Material,NA,web of science,NA
"a new era of statistics and data science education in japanese universities (vol 1, 109, 2018)",10.1007/s42081-018-0021-7,https://doi.org/10.1007/s42081-018-0021-7,"Takemura, A",2018,Correction,NA,web of science,NA
how should data science education be?,10.4018/ijeoe.2020040103,https://doi.org/10.4018/ijeoe.2020040103,"Gursakal, N; Ozkan, E; Yilmaz, FM; Oktay, D",2020,Article,"The interest in data science is increasing in recent years. Data science, including mathematics, statistics, big data, machine learning, and deep learning, can be considered as the intersection of statistics, mathematics and computer science. Although the debate continues about the core area of data science, the subject is a huge hit. Universities have a high demand for data science. They are trying to live up to this demand by opening postgraduate and doctoral programs. Since the subject is a new field, there are significant differences between the programs given by universities in data science. Besides, since the subject is close to statistics, most of the time, data science programs are opened in the statistics departments, and this also causes differences between the programs. In this article, we will summarize the data science education developments in the world and in Turkey specifically and how data science education should be at the graduate level.",web of science,NA
a new era of statistics and data science education in japanese universities,10.1007/s42081-018-0005-7,https://doi.org/10.1007/s42081-018-0005-7,"Takemura, A",2018,Article,"In April 2017, Shiga University launched an undergraduate program in the new faculty of data science. This faculty emphasizes the study and application of statistics and is the first of its kind in Japan. Shiga University also plans to launch a master's program in data science starting in April 2019. The inauguration of the faculty marks a new era of statistics and data science education in Japanese universities, in view of the fact that there were virtually no statistics faculties in Japanese universities before that of Shiga University. In April 2018, Yokohama City University will follow Shiga University with the opening of a new school of data science. We discuss the background of these developments and the prospects of statistics and data science in Japan.",web of science,NA
addressing confirmation bias in middle school data science education,10.3934/fods.2021035,https://doi.org/10.3934/fods.2021035,"Hedges, S; Given, K",NA,Article; Early Access,"More research is needed involving middle school students' engagement in the statistical problem-solving process, particularly the beginning process steps: formulate a question and make a plan to collect data/consider the data. Further, the increased availability of large-scale electronically accessible data sets is an untapped area of study. This interpretive study examined middle school students' understanding of statistical concepts involved in making a plan to collect data to answer a statistical question within a social issue context using data available on the internet. Student artifacts, researcher notes, and audio and video recordings from nine groups of 20 seventh-grade students in two gifted education pull-out classes at a suburban middle school were used to answer the study research questions. Data were analyzed using a priori codes from previously developed frameworks and by using an inductive approach to find themes. Three themes that emerged from data related to confirmation bias. Some middle school students held preconceptions about the social issues they chose to study that biased their statistical questions. This in turn influenced the sources of data students used to answer their questions. Confirmation bias is a serious issue that is exacerbated due to endless sources of data electronically available. We argue that this type of bias should be addressed early in students' educational experiences. Based on the findings from this study, we offer recommendations for future research and implications for statistics and data science education.",web of science,NA
beyond ethics: considerations for centering equity-minded data science,10.5642/jhummath.OCYS6929,https://doi.org/10.5642/jhummath.OCYS6929,"Alexander, N; Eaton, CD; Shrout, AH; Tsinnajinnie, B; Tsosie, K",2022,Article,"In this paper, we utilize duoethnography - a research method in which prac-titioners discursively interrogate the relationships between culture, context, and the mechanisms which shape individual autobiographical experiences - to ex-plore what may be beyond ethics in the context of data science. Although ethical frameworks have the ability to reflect cultural priorities, a singular view of ethics, as we explore, often fails to speak to the multiple and diverse priorities held both within and across institutional spaces. To that end, this paper explores multiple perspectives, epistemologies, and worldviews that can collectively push researchers towards considerations of a data science education that is equity -minded both in concept and practice. Through a set of dialogues which examine our positionalities, journeys, ethics, local cultures, and accountabilities, this pa-per explores the contextual realities rooted in the authors' educational settings. These conversations focus on the humanity of our students, the communities from which we come from and serve, as well as the unintentional harms and possibilities associated with the development of data science programs across institutional types. We take a set of five core questions to examine how we made, and continue to make, sense of our diverse cultural perspectives on data science education and equity with/in relation to others' realities. Broadly, this paper seeks to offer reflections on the related but differing functions of ethics and equity in data science education.",web of science,NA
what is a data science/analytics degree?,NA,https://aisel.aisnet.org/amcis2017/Panels/Presentations/13,"Saltz, J; Armour, F; Sharda, R",2017,Proceedings Paper,"Data science, and the related field of analytics, is an emerging discipline that integrates concepts across a range of domains, including computer science, information systems, software engineering and statistics. While the number of data science / analytics programs continues to increase, there has been little discussion on how we should define this emerging educational field. This panel will foster a debate with respect to what are the key learning objectives within these programs and should there be different types of data science related programs (such as an applied data science program or a business analytics program in addition to data science programs). Via a debate, this panel, along with the audience, will explore the field of data science and these emerging questions regarding data science and analytics education.",web of science,NA
smart education and future trends,NA,https://ijcopi.org/ojs/article/view/294,"Diaz-Parra, O; Fuentes-Penna, A; Barrera-Camara, RA; Trejo-Macotela, FR; Ramos-Fernandez, JC; Ruiz-Vanoye, JA; Zezzatti, AO; Rodriguez-Flores, J",2022,Article,"Smart Education is the influence of diverse technologies (Combinatorial Optimization, Machine Learning, Big Data, data visualisation, Internet of Education Things, Learning analytics, and others) to enhance the quality of education. In other words, Smart Education is the process of optimally managing human, economic and technological resources from educational institutions and research centres. Smart Education is part of the Smart Society (a component of a Smart City). The Smart Education components are the Internet of Education Things (Wireless Sensor Networks, RFID Technology), management of the education physical, infrastructure, smart classroom, smart campus, smart learning, Learning analytics, Smart Analysis, data science, Education Impact, and Educational Policy. This paper is a guide for understanding Smart Education components by presenting a survey of the characteristics, taxonomy (Education-Hard problems and Education-Soft problems), smart education indicators, history and future trends.",web of science,NA
the use of algorithmic models to develop secondary teachers' understanding of the statistical modeling process,10.1080/26939169.2021.1900759,https://doi.org/10.1080/26939169.2021.1900759,"Zieffler, A; Justice, N; delMas, R; Huberty, MD",2021,Article,"Statistical modeling continues to gain prominence in the secondary curriculum, and recent recommendations to emphasize data science and computational thinking may soon position algorithmic models into the school curriculum. Many teachers' preparation for and experiences teaching statistical modeling have focused on probabilistic models. Subsequently, much of the research literature related to the teachers' understanding has focused on probabilistic models. This study explores the extent to which secondary statistics teachers appear to understand ideas of statistical modeling, specifically the processes of model building and evaluation, when introduced using classification trees, a type of algorithmic model. Results of this study suggest that while teachers were able to read and build classification tree models, they experienced more difficulty when evaluating models. Further research could continue to explore possible learning trajectories, technology tools, and pedagogical approaches for using classification trees to introduce ideas of statistical modeling.",web of science,NA
evaluation edison's data science competency framework through a comparative literature analysis,10.3934/fods.2021031,https://doi.org/10.3934/fods.2021031,"Schmitt, KRB; Clark, L; Kinnaird, KM; Wertz, REH; Sandstede, B",NA,Article; Early Access,"During the emergence of Data Science as a distinct discipline, discussions of what exactly constitutes Data Science have been a source of contention, with no clear resolution. These disagreements have been exacerbated by the lack of a clear single disciplinary 'parent.' Many early efforts at defining curricula and courses exist, with the EDISON Project's Data Science Frame-work (EDISON-DSF) from the European Union being the most complete. The EDISON-DSF includes both a Data Science Body of Knowledge (DS-BoK) and Competency Framework (CF-DS). This paper takes a critical look at how EDISON's CF-DS compares to recent work and other published curricular or course materials. We identify areas of strong agreement and disagreement with the framework. Results from the literature analysis provide strong insights into what topics the broader community see as belonging in (or not in) Data Science, both at curricular and course levels. This analysis can provide important guidance for groups working to formalize the discipline and any college or university looking to build their own undergraduate Data Science degree or programs.",web of science,NA
facilitating api lookup for novices learning data wrangling using thumbnail graphics,10.3934/fods.2021032,https://doi.org/10.3934/fods.2021032,"Sundin, L; Sakr, N; Leinonen, J; Cutts, Q",NA,Article; Early Access,"With the rising demand for data science skills, the ability to wrangle data programmatically becomes a crucial barrier. In this paper, we discuss the centrality of API (application programming interface) lookup to data wrangling, and how an ontology-structured command menu could facilitate it. We design thumbnail graphics as visual alternatives to explaining data wrangling operations and use a survey to validate their quality. We furthermore predict that thumbnail graphics make the menu more navigable, improving lookup efficiency and performance. Our predictions are tested using SLICE N DICE, an online data wrangling tutorial platform that collects learner activity. It includes both non-programmatic and programmatic data wrangling exercises. Participants from a multi-institutional sample (n=200) were randomly assigned the tutorial either with or without thumbnail graphics. Our results show that thumbnail graphics reduce the need for clarifications, thereby assisting API lookup for novices learning data wrangling. We further present some negative results regarding performance gain and follow up with a discussion on why the differences are subtle and how they can be improved. Last but not least, we complement our statistical results with a qualitative study where we receive positive feedback from our participants on the design and helpfulness of the thumbnail graphics.",web of science,NA
